x,y
1,32.83570765056163
2,6.086784941440767
3,50.38442690503462
4,99.15149282040127
5,16.2923312638332
6,21.293152152540973
7,116.96064077536957
8,81.37173645764544
9,24.526280703252393
10,80.12800217929824
11,34.829115359376885
12,39.71351232148716
13,80.0981135783017
14,-22.66401223288989
15,-8.245891625651637
16,54.88562353795136
17,37.35844398327881
18,108.7123666297637
19,52.59879622393945
20,32.38481493323543
21,181.28243844607772
22,101.71118497567322
23,121.37641023439619
24,51.762590689327155
25,100.78086377374086
26,138.5461294854933
27,80.45032112888487
28,161.7849009172836
29,117.96806550405975
30,138.41531251033615
31,127.91466938853016
32,255.6139092254469
33,167.3251387631033
34,120.11445355220499
35,219.12724560515946
36,121.95781750144889
37,198.44317975023776
38,95.01649380601123
39,131.59069755507846
40,212.84306179345617
41,244.92332899977052
42,221.56841405949854
43,212.21758588058796
44,207.94481522053556
45,154.07390048162864
46,197.00778958026456
47,214.96806145201063
48,295.8561113109458
49,265.18091447842306
50,164.84799223186332
51,274.20419846973977
52,243.74588597918418
53,234.15389998470206
54,303.5838144420434
55,329.5499761247975
56,329.56400595580993
57,246.03912383886808
58,277.53938120743925
59,314.5631715701782
60,351.77725635611796
61,284.0412881077355
62,303.71705116680914
63,262.6832512996986
64,263.18966879596644
65,368.6262911197099
66,400.8120014285412
67,334.39949392098333
68,393.1766448946012
69,366.0818012523817
70,320.7440122697438
71,376.0697802754207
72,439.90182832329845
73,366.2086980445024
74,451.23218279070034
75,247.0127447955128
76,424.0951252187612
77,392.35235341190855
78,378.0496324767066
79,402.5880388267751
80,303.62155426995537
81,397.0164056081244
82,430.85562857558733
83,491.8947022370758
84,397.0864890863176
85,387.57531985534064
86,407.91214782077316
87,483.7701058851037
88,459.43755548298424
89,421.51198981164805
90,478.6633716556678
91,462.853877467402
92,511.43224952664445
93,432.89734530613237
94,456.6168926701116
95,458.3945923433921
96,409.8242525933941
97,502.8060138532288
98,506.05276360899444
99,498.255672832123
100,491.27064333124264
